DATE,T_MAX_RUS,T_MIN_RUS,T_AVG_RUS,RH_RUS,WND_RUS,PRCP_RUS,ONI
2009-04-29,15.066666666666668,4.9,9.333333333333334,54.23333333333334,16.96666666666667,0.6666666666666666,-0.33
2009-04-30,14.033333333333331,5.333333333333333,9.533333333333331,70.26666666666667,12.9,1.7999999999999998,-0.33
2009-05-01,17.8,5.2,11.6,52.06666666666666,17.433333333333334,0.0,0.01
2009-05-02,15.266666666666666,3.333333333333333,9.866666666666667,67.36666666666666,13.833333333333334,0.7000000000000001,0.01
2009-05-03,19.266666666666666,3.1666666666666665,10.266666666666666,59.36666666666667,20.3,0.1999999999999999,0.01
2009-05-04,18.5,5.133333333333334,11.366666666666667,54.70000000000001,17.599999999999998,3.033333333333333,0.01
2009-05-05,17.233333333333334,4.8,10.366666666666667,44.23333333333333,14.133333333333333,0.0,0.01
2009-05-06,14.333333333333334,1.0666666666666669,7.866666666666666,55.06666666666666,14.733333333333334,0.0,0.01
2009-05-07,14.366666666666667,1.6000000000000003,7.699999999999999,53.5,11.9,0.0,0.01
2009-05-08,18.53333333333333,3.266666666666667,10.933333333333332,40.5,12.466666666666669,0.0333333333333333,0.01
2009-05-09,18.53333333333333,3.733333333333333,11.166666666666666,53.16666666666666,17.400000000000002,0.35,0.01
2009-05-10,20.03333333333333,0.1333333333333334,9.766666666666667,48.0,15.766666666666666,0.1666666666666666,0.01
2009-05-11,17.066666666666666,5.166666666666667,11.366666666666667,52.86666666666667,16.2,0.2,0.01
2009-05-12,19.76666666666667,4.933333333333334,13.066666666666668,48.36666666666667,11.133333333333336,0.3333333333333333,0.01
2009-05-13,20.8,5.566666666666666,13.9,36.06666666666667,18.933333333333334,0.0,0.01
2009-05-14,19.066666666666663,3.6666666666666665,11.266666666666666,57.43333333333333,16.466666666666665,0.0,0.01
2009-05-15,14.233333333333334,4.466666666666667,9.7,66.83333333333333,16.400000000000002,0.0,0.01
2009-05-16,16.766666666666666,8.133333333333333,12.966666666666669,61.36666666666667,17.599999999999998,0.5666666666666667,0.01
2009-05-17,17.633333333333333,7.8,11.633333333333333,71.2,15.5,1.2333333333333334,0.01
